0	127	136
1	97	120
2	83	92
3	55	62
4	25	50
5	4	20
6	71	75
7	97	112
8	160	169
9	266	276
10	255	261
11	240	252
12	230	238
13	220	228
14	210	216
15	192	201
16	151	159
17	143	150
20	202	209
21	160	181
26	338	343
23	314	322
24	282	298
25	372	382
30	326	337
31	282	289
32	445	453
33	425	439
34	413	422
35	389	403
38	389	395
39	537	542
40	500	507
41	470	478
42	465	469
43	558	567
44	547	554
45	524	531
46	509	513
47	489	493
48	629	639
49	617	622
50	600	606
51	574	581
53	592	599
54	582	587
55	772	779
56	762	769
57	752	761
58	736	741
59	728	733
60	719	727
61	709	718
62	703	708
63	679	690
64	691	701
65	659	670
66	649	658
67	641	648
68	894	910
69	872	879
70	860	869
71	852	858
72	847	850
73	784	817
74	819	845
77	915	918
78	971	979
79	958	968
18	925	945
19	949	956
