0	113	129
1	87	93
2	75	81
3	62	70
4	50	58
5	42	49
6	3	14
7	3	27
8	28	35
9	94	102
10	113	122
52	180	221
11	180	188
12	174	179
13	158	166
14	147	155
15	235	241
16	210	221
17	196	207
18	339	349
19	313	329
20	296	304
21	265	268
22	272	278
23	254	260
79	395	414
78	391	394
24	382	388
25	358	365
26	358	378
30	447	458
31	462	471
32	424	431
33	439	446
109	553	558
99	577	584
90	569	574
81	564	568
34	537	543
35	510	519
36	526	532
37	544	552
38	484	505
39	484	492
110	612	616
40	591	602
41	612	622
42	782	787
43	768	776
44	755	762
45	725	731
46	698	706
47	710	718
48	671	677
49	658	666
50	627	633
51	637	642
53	826	835
54	817	825
55	795	809
56	878	884
57	852	863
58	840	849
135	979	985
128	886	893
118	966	985
59	951	962
60	941	948
61	932	940
62	911	926
63	900	907
64	894	899
65	1100	1107
66	1085	1091
67	1073	1080
68	1051	1067
69	1038	1045
70	1031	1034
71	991	1004
72	991	1016
73	1021	1025
74	1192	1196
75	1180	1188
76	1151	1158
77	1134	1141
80	1163	1174
27	1142	1146
82	1260	1269
83	1248	1254
84	1235	1244
85	1218	1230
86	1332	1343
87	1312	1323
88	1303	1308
89	1296	1302
91	1282	1290
92	1274	1281
93	1426	1433
94	1411	1418
95	1393	1398
96	1387	1392
97	1375	1386
98	1445	1451
100	1399	1406
101	1498	1505
102	1488	1493
103	1476	1483
104	1456	1467
105	1538	1546
106	1529	1533
107	1510	1517
108	1510	1528
111	1625	1631
112	1632	1635
113	1610	1617
114	1592	1605
115	1575	1585
116	1654	1660
117	1639	1647
138	1706	1710
119	1706	1716
120	1673	1684
121	1693	1703
122	1745	1751
123	1722	1733
124	1785	1792
125	1777	1782
126	1772	1776
127	1761	1766
129	1752	1760
130	1807	1812
131	1797	1803
132	1935	1942
133	1925	1929
134	1910	1921
136	1981	1999
137	1966	1977
140	2130	2136
141	2102	2111
142	2088	2099
143	2075	2083
144	2049	2069
145	2028	2039
146	2041	2048
147	2004	2024
149	2181	2195
150	2170	2177
151	2150	2156
153	2157	2165
154	2240	2247
155	2248	2253
156	2219	2226
157	2227	2235
160	2271	2282
139	2331	2350
164	2379	2387
165	2370	2374
166	2363	2369
167	2305	2312
168	2293	2301
169	2313	2320
170	2497	2508
171	2486	2494
172	2476	2484
173	2453	2463
174	2440	2452
175	2430	2437
176	2417	2423
177	2393	2416
178	2393	2406
179	2525	2532
180	2593	2601
181	2579	2586
182	2562	2569
183	2536	2550
185	2719	2730
186	2709	2716
187	2700	2708
188	2680	2694
189	2660	2664
190	2668	2672
191	2673	2677
192	2655	2658
193	2765	2771
199	2680	2685
200	2620	2653
201	2908	2915
202	2879	2901
203	2861	2871
204	2832	2844
205	2818	2826
206	2803	2811
207	2777	2802
208	2777	2790
209	2975	2983
210	2987	2994
211	3000	3014
212	2921	2954
214	3099	3106
215	3078	3085
216	3066	3070
217	3051	3058
218	3039	3047
219	3146	3153
220	3198	3205
221	3187	3197
222	3173	3181
223	3160	3167
224	3231	3236
225	3225	3230
226	3210	3221
227	3267	3272
228	3256	3260
229	3241	3255
152	3301	3323
148	3318	3323
233	3277	3284
235	3291	3300
237	3301	3308
238	3376	3382
239	3376	3392
240	3363	3368
242	3419	3430
243	3401	3416
244	3401	3409
246	3338	3361
158	3504	3511
252	3466	3471
253	3451	3455
254	3436	3443
255	3459	3471
256	3529	3534
257	3504	3523
258	3538	3549
259	3616	3624
260	3603	3612
261	3582	3585
262	3571	3576
263	3559	3567
270	3671	3677
272	3671	3683
273	3656	3665
274	3641	3649
275	3635	3640
159	3817	3825
276	3743	3758
277	3722	3739
279	3795	3810
280	3784	3791
281	3891	3909
282	3883	3888
283	3863	3871
284	3854	3862
285	3831	3853
287	3831	3838
288	3875	3881
289	3979	3989
290	3961	3971
291	3947	3955
292	3934	3942
293	3927	3933
294	3914	3921
295	4010	4026
296	3990	3995
299	4049	4065
301	4041	4045
302	4032	4040
303	4175	4183
304	4157	4167
305	4145	4152
306	4136	4144
307	4222	4232
308	4209	4217
309	4188	4194
310	4246	4256
311	4237	4245
312	4332	4340
313	4310	4326
314	4262	4269
315	4262	4284
316	4341	4348
317	4310	4316
28	4355	4360
320	4470	4482
321	4460	4469
322	4445	4457
323	4437	4444
324	4424	4434
325	4406	4422
326	4393	4405
327	4383	4390
161	4529	4534
328	4529	4552
329	4511	4520
330	4488	4495
195	4570	4577
194	4626	4631
184	4644	4649
163	4635	4641
162	4558	4566
331	4578	4586
332	4558	4577
333	4605	4611
334	4590	4598
338	4725	4734
339	4691	4699
340	4683	4690
341	4700	4710
342	4711	4721
344	4810	4816
345	4786	4793
346	4760	4767
347	4739	4745
348	4824	4831
29	4753	4759
350	4866	4874
